DateTime;<TICKER>;<PER>;Open;High;Low;Close;Volume
2023-05-02 19:00:00;SBER;60;240.87;243.14;240.65;242.58;4251430
2023-05-02 20:00:00;SBER;60;242.59;242.59;241.2;242.09;2090070
2023-05-02 21:00:00;SBER;60;242.12;242.34;241.5;241.8;764290
2023-05-02 22:00:00;SBER;60;241.8;241.93;241.4;241.8;574360
2023-05-02 23:00:00;SBER;60;241.77;242.92;241.77;242.62;1195840
2023-05-03 10:00:00;SBER;60;242.85;242.99;239.62;241.35;14842650
2023-05-03 11:00:00;SBER;60;241.36;241.36;239.82;240.87;5719480
2023-05-03 12:00:00;SBER;60;240.87;242.2;240.56;241.86;4509040
2023-05-03 13:00:00;SBER;60;241.86;242.8;241.5;242.36;3484660
2023-05-03 14:00:00;SBER;60;242.36;242.49;240.66;240.95;3335410
2023-05-03 15:00:00;SBER;60;240.95;241.48;240.1;240.26;3583650
2023-05-03 16:00:00;SBER;60;240.26;240.69;238.41;239.36;9162230
2023-05-03 17:00:00;SBER;60;239.36;239.95;238.51;238.65;3929560
2023-05-03 18:00:00;SBER;60;238.64;239.35;238.0;238.0;4398660
2023-05-03 19:00:00;SBER;60;237.92;238.83;234.0;236.45;12435360
2023-05-03 20:00:00;SBER;60;236.46;238.07;235.95;237.15;3356780
2023-05-03 21:00:00;SBER;60;237.19;237.19;235.6;236.53;3438790
2023-05-03 22:00:00;SBER;60;236.53;236.69;235.9;236.0;2166350
2023-05-03 23:00:00;SBER;60;236.05;236.94;235.6;235.77;2378310
2023-05-04 10:00:00;SBER;60;236.51;239.27;236.23;238.02;15772440
2023-05-04 11:00:00;SBER;60;238.01;238.8;237.63;237.86;4321760
2023-05-04 12:00:00;SBER;60;237.86;239.74;237.5;239.49;6638860
2023-05-04 13:00:00;SBER;60;239.49;239.65;238.9;238.91;2959300
2023-05-04 14:00:00;SBER;60;238.9;239.54;238.9;238.97;2322250
2023-05-04 15:00:00;SBER;60;238.92;239.46;236.63;236.73;7004250
2023-05-04 16:00:00;SBER;60;236.72;237.91;236.66;237.42;2242850
2023-05-04 17:00:00;SBER;60;237.46;237.5;236.05;237.45;4322150
2023-05-04 18:00:00;SBER;60;237.39;237.8;237.0;237.21;1781540
2023-05-04 19:00:00;SBER;60;237.21;237.64;237.2;237.44;552900
2023-05-04 20:00:00;SBER;60;237.43;238.77;236.9;238.65;2003030
2023-05-04 21:00:00;SBER;60;238.64;239.0;238.18;238.41;1505230
2023-05-04 22:00:00;SBER;60;238.41;238.58;237.86;238.52;918100
2023-05-04 23:00:00;SBER;60;238.52;238.89;238.45;238.89;662180
2023-05-05 10:00:00;SBER;60;239.19;240.5;237.3;240.15;12560650
2023-05-05 11:00:00;SBER;60;240.15;240.4;239.23;239.79;5656620
2023-05-05 12:00:00;SBER;60;239.82;239.85;239.28;239.68;4376320
2023-05-05 13:00:00;SBER;60;239.68;239.77;239.39;239.69;2441570
